"Row","Original_label","Chao1_NRPS","se.chao1_NRPS","Shannon_NRPS","Simpson_NRPS","Treatment_NRPS","Compartments_NRPS","WEEK","Irrigation_NRPS","Name1","Name2","sample.name","Group_NRPS","ID","Chao1_16S","se.chao1_16S","Shannon_16S","Simpson_16S","Treatment_16S","Compartments_16S","Week","Irrigation_16S","Group_16S","group2","sample_16S"
"5","11_RP_WA_5",2011.0904109589,1.98227474336733,6.46159438029387,0.99499838607877,"Control","rhizoplane","5","Watered","W5RPC_1","W5RPC","YG120","5W","I23-1095-B04",568.166666666667,1.46655150955519,5.45113341705334,0.987303844047927,"Water","rhizoplane",5,"Watered","5Watered","W_5Water","NG.33073_YG56"
"7","12_RP_WA_5",3730.83234244946,23.7160087666447,6.99614055686747,0.996812582434453,"Control","rhizoplane","5","Watered","W5RPC_2","W5RPC","YG121","5W","I23-1095-C04",654.275862068965,2.08211986892314,5.66312058554136,0.990842580116785,"Water","rhizoplane",5,"Watered","5Watered","W_5Water","NG.33073_YG57"
"8","13_RP_WA_5",4049.24608819346,47.5808220105134,6.83264288295079,0.996033603706877,"Control","rhizoplane","5","Watered","W5RPC_3","W5RPC","YG122","5W","I23-1095-D04",526.1875,0.5126216771868,5.58905799606911,0.992022576007548,"Water","rhizoplane",5,"Watered","5Watered","W_5Water","NG.33073_YG58"
"10","14_RP_WA_5",2406.20501138952,9.13034335477801,6.6681387509179,0.996675369327552,"Control","rhizoplane","5","Watered","W5RPC_4","W5RPC","YG123","5W","I23-1095-E04",509.769230769231,2.67596137734833,5.5367520633799,0.990652386380255,"Water","rhizoplane",5,"Watered","5Watered","W_5Water","NG.33073_YG59"
"12","15_RP_WA_5",2593.81333333333,16.8252137561751,6.57912482700212,0.995338264252469,"Control","rhizoplane","5","Watered","W5RPC_5","W5RPC","YG124","5W","I23-1095-F04",460.142857142857,2.53140898282228,5.37638740831201,0.99008612799785,"Water","rhizoplane",5,"Watered","5Watered","W_5Water","NG.33073_YG60"
"25","26_D_RP_WA_5",2269.08149779736,7.19880019898218,6.36646488006701,0.99430814360273,"Control","rhizoplane","5","Drought","D5RPC_1","D5RPC","YG150","5D","I23-1095-B08",546,2.13562358375729,5.41124712086562,0.985866890449033,"Water","rhizoplane",5,"Drought","5Drought","D_5Water","NG.33073_YG71"
"26","27_D_RP_WA_5",3840.53053435114,40.9773091017365,6.53641109722146,0.993025265316808,"Control","rhizoplane","5","Drought","D5RPC_2","D5RPC","YG151","5D","I23-1095-C08",412.272727272727,0.658612234460262,5.17088947509784,0.986731288723908,"Water","rhizoplane",5,"Drought","5Drought","D_5Water","NG.33073_YG72"
"27","28_D_RP_WA_5",5345.98987854251,60.9256891295869,7.14959580337707,0.996871800887357,"Control","rhizoplane","5","Drought","D5RPC_3","D5RPC","YG152","5D","I23-1095-D08",479.214285714286,0.559431226683802,5.49204483028453,0.991851327836809,"Water","rhizoplane",5,"Drought","5Drought","D_5Water","NG.33073_YG73"
"28","29_D_RP_WA_5",3171.44512195122,21.3771368059412,6.74943093894187,0.995335443478535,"Control","rhizoplane","5","Drought","D5RPC_4","D5RPC","YG153","5D","I23-1095-E08",418.25,0.620428715040096,5.24006868709065,0.988275612532103,"Water","rhizoplane",5,"Drought","5Drought","D_5Water","NG.33073_YG74"
"31","30_D_RP_WA_5",3240.25567322239,20.2053251489462,6.89321896309239,0.997030684411363,"Control","rhizoplane","5","Drought","D5RPC_5","D5RPC","YG154","5D","I23-1095-F08",477.4,1.68409515004991,5.29473118950367,0.98751162955071,"Water","rhizoplane",5,"Drought","5Drought","D_5Water","NG.33073_YG75"
"50","61_RP_WA_2",3651.69696969697,31.4164834898274,6.86278546134794,0.995466790249848,"Control","rhizoplane","2","Watered","W2RPC_1","W2RPC","YG26","2W","I23-1089-B04",530,9.6372145398995,5.74865647144907,0.99459521789224,"Water","rhizoplane",2,"Watered","2Watered","W_2Water","NG.33073_YG11"
"51","62_RP_WA_2",6624.22825070159,93.4303831617405,7.14415540809173,0.995856649733207,"Control","rhizoplane","2","Watered","W2RPC_2","W2RPC","YG27","2W","I23-1089-C04",558.25,2.25529401781674,5.72960734404574,0.994093359989617,"Water","rhizoplane",2,"Watered","2Watered","W_2Water","NG.33073_YG12"
"52","63_RP_WA_2",7780.0249332146,126.038030256858,7.13104932001449,0.9959521164295,"Control","rhizoplane","2","Watered","W2RPC_3","W2RPC","YG28","2W","I23-1089-D04",554.5,0.874619587537071,5.61791840635198,0.992145299855205,"Water","rhizoplane",2,"Watered","2Watered","W_2Water","NG.33073_YG13"
"53","65_RP_WA_2",3871.08017492711,39.050602867184,6.88997264137052,0.995659432902875,"Control","rhizoplane","2","Watered","W2RPC_5","W2RPC","YG30","2W","I23-1089-F04",528.2,0.534600696626957,5.69712371944033,0.993771357543283,"Water","rhizoplane",2,"Watered","2Watered","W_2Water","NG.33073_YG15"
"54","66_RP_WA_4",1520.46875,0.726814295078556,6.0271039010074,0.991973148507736,"Control","rhizoplane","4","Watered","W4RPC_1","W4RPC","YG60","4W","I23-1093-B04",348.166666666667,0.543521938695666,4.76997843477203,0.977145237732739,"Water","rhizoplane",4,"Watered","4Watered","W_4Water","NG.33073_YG26"
"55","67_RP_WA_4",2295.12470588235,5.61277674654314,6.44901879671613,0.994203923500344,"Control","rhizoplane","4","Watered","W4RPC_2","W4RPC","YG61","4W","I23-1093-C04",300,0.166388657020799,4.49815245457155,0.950929138705461,"Water","rhizoplane",4,"Watered","4Watered","W_4Water","NG.33073_YG27"
"56","68_RP_WA_4",3484.75877192982,31.6548935393326,6.63706562241435,0.994019351881001,"Control","rhizoplane","4","Watered","W4RPC_3","W4RPC","YG62","4W","I23-1093-D04",337.125,0.443804940766115,4.83458228143041,0.979611454268087,"Water","rhizoplane",4,"Watered","4Watered","W_4Water","NG.33073_YG28"
"57","69_RP_WA_4",7512.21112158341,128.119980377891,6.97264131459554,0.995660826026582,"Control","rhizoplane","4","Watered","W4RPC_4","W4RPC","YG63","4W","I23-1093-E04",349.142857142857,0.486946085933267,4.8967003360537,0.975129082860352,"Water","rhizoplane",4,"Watered","4Watered","W_4Water","NG.33073_YG29"
"58","70_RP_WA_4",5397.28682170543,77.5538699077266,6.80288207181594,0.995305556098107,"Control","rhizoplane","4","Watered","W4RPC_5","W4RPC","YG64","4W","I23-1093-F04",379.6,1.18622733922133,4.80986255060393,0.968939179612522,"Water","rhizoplane",4,"Watered","4Watered","W_4Water","NG.33073_YG30"
"59","71_D_RP_WA_4",2676.32947976879,7.99185127914981,6.76474956606427,0.995516022061885,"Control","rhizoplane","4","Drought","D4RPC_1","D4RPC","YG90","4D","I23-1093-B08",495.833333333333,1.26069447331097,5.50407477652956,0.985735732813914,"Water","rhizoplane",4,"Drought","4Drought","D_4Water","NG.33073_YG41"
"60","72_D_RP_WA_4",4282.00466744457,41.4456379745345,6.78023248322781,0.994065515552931,"Control","rhizoplane","4","Drought","D4RPC_2","D4RPC","YG91","4D","I23-1093-C08",505,0,5.49335193804551,0.981310661113171,"Water","rhizoplane",4,"Drought","4Drought","D_4Water","NG.33073_YG42"
"61","73_D_RP_WA_4",4412.35419126328,40.1071455326465,7.18623093427299,0.997382843238491,"Control","rhizoplane","4","Drought","D4RPC_3","D4RPC","YG92","4D","I23-1093-D08",401,0.0998752338877845,5.50179208770099,0.992831743045188,"Water","rhizoplane",4,"Drought","4Drought","D_4Water","NG.33073_YG43"
"62","74_D_RP_WA_4",5502.45294725957,65.7997558767471,7.21823678225567,0.997138048741155,"Control","rhizoplane","4","Drought","D4RPC_4","D4RPC","YG93","4D","I23-1093-E08",567.75,1.10923704767702,5.74160689930955,0.993514760068138,"Water","rhizoplane",4,"Drought","4Drought","D_4Water","NG.33073_YG44"
